Station Name, Nitrogen Dioxide, Ozone, Sulfur Dioxide, Carbon Monoxide, Particle PM10, Particle PM2.5, Particles TSP, Visibility
Mutdapilly,,0.016,,,16.9,5.6,,
Wynnum West,,,,,-1111,-1111,,
North Maclean,,0.021,,,17.2,6.1,,
Nambour,,,,,16.3,6.2,,
Woolloongabba,,,,,15.7,6.2,,
South Brisbane,,,,,16.6,6.7,,
Southport,,0.021,,,13.5,2.9,,
Springwood,,0.019,,,9.7,3.9,,
Rocklea,,0.017,,,14.2,11.2,,14
Mountain Creek,,0.024,,,21.9,7.8,,4
Wynnum,,,,,9.3,1.8,,
Flinders View,,0.021,,,14,5.5,,2
Lytton,,,,,-1111,-1111,,
Deagon,,0.018,,,16.5,6.4,,14
Deception Bay,,0.02,,,17.4,6.7,,
Cannon Hill,,0.019,,,16.7,6.6,15.6,
Brisbane CBD,,,,,16.6,6.6,,11
