Site,Date,Time,Water Level,Prediction,Residual
abellpoint,2023-04-04,00:00:0,1.888,1.858,0.03
abellpoint,2023-04-04,00:10:0,1.798,1.769,0.029
abellpoint,2023-04-04,00:20:0,1.706,1.679,0.027
abellpoint,2023-04-04,00:30:0,1.619,1.59,0.029
abellpoint,2023-04-04,00:40:0,1.526,1.5,0.026
abellpoint,2023-04-04,00:50:0,1.422,1.412,0.01
abellpoint,2023-04-04,01:00:0,1.334,1.327,0.007
abellpoint,2023-04-04,01:10:0,1.248,1.244,0.004
abellpoint,2023-04-04,01:20:0,1.181,1.166,0.015
abellpoint,2023-04-04,01:30:0,1.115,1.094,0.021
abellpoint,2023-04-04,01:40:0,1.041,1.028,0.013
abellpoint,2023-04-04,01:50:0,0.98,0.969,0.011
abellpoint,2023-04-04,02:00:0,0.925,0.919,0.006
abellpoint,2023-04-04,02:10:0,0.869,0.875,-0.006
abellpoint,2023-04-04,02:20:0,0.822,0.838,-0.016
abellpoint,2023-04-04,02:30:0,0.813,0.81,0.003
abellpoint,2023-04-04,02:40:0,0.777,0.789,-0.012
abellpoint,2023-04-04,02:50:0,0.789,0.774,0.015
abellpoint,2023-04-04,03:00:0,0.778,0.768,0.01
abellpoint,2023-04-04,03:10:0,0.765,0.769,-0.004
abellpoint,2023-04-04,03:20:0,0.746,0.778,-0.032
abellpoint,2023-04-04,03:30:0,0.756,0.796,-0.04
abellpoint,2023-04-04,03:40:0,0.801,0.823,-0.022
abellpoint,2023-04-04,03:50:0,0.842,0.86,-0.018
abellpoint,2023-04-04,04:00:0,0.838,0.906,-0.068
abellpoint,2023-04-04,04:10:0,0.916,0.962,-0.046
abellpoint,2023-04-04,04:20:0,0.989,1.027,-0.038
abellpoint,2023-04-04,04:30:0,1.064,1.1,-0.036
abellpoint,2023-04-04,04:40:0,1.124,1.181,-0.057
abellpoint,2023-04-04,04:50:0,1.217,1.267,-0.05
abellpoint,2023-04-04,05:00:0,1.295,1.357,-0.062
abellpoint,2023-04-04,05:10:0,1.397,1.45,-0.053
abellpoint,2023-04-04,05:20:0,1.492,1.546,-0.054
abellpoint,2023-04-04,05:30:0,1.594,1.642,-0.048
abellpoint,2023-04-04,05:40:0,1.69,1.739,-0.049
abellpoint,2023-04-04,05:50:0,1.767,1.838,-0.071
abellpoint,2023-04-04,06:00:0,1.861,1.936,-0.075
abellpoint,2023-04-04,06:10:0,1.971,2.036,-0.065
abellpoint,2023-04-04,06:20:0,2.048,2.138,-0.09
abellpoint,2023-04-04,06:30:0,2.147,2.238,-0.091
abellpoint,2023-04-04,06:40:0,2.221,2.339,-0.118
abellpoint,2023-04-04,06:50:0,2.333,2.439,-0.106
abellpoint,2023-04-04,07:00:0,2.441,2.536,-0.095
abellpoint,2023-04-04,07:10:0,2.544,2.63,-0.086
abellpoint,2023-04-04,07:20:0,2.641,2.72,-0.079
abellpoint,2023-04-04,07:30:0,2.72,2.803,-0.083
abellpoint,2023-04-04,07:40:0,2.814,2.878,-0.064
abellpoint,2023-04-04,07:50:0,2.881,2.947,-0.066
abellpoint,2023-04-04,08:00:0,2.943,3.007,-0.064
abellpoint,2023-04-04,08:10:0,2.973,3.06,-0.087
